text,question,start_span,end_span,input_ids,attention_mask,start_positions,end_positions
"The subjects offered in the fourth year, first semester of entertainment and multi media computing or the emc include CURRENT TRENTS IN COMPUTING, EMC CAPSTONE PROJECT 2, INFORMATION MANAGEMENT WITH LAB, INTELLIGENT SYSTEMS WITH LAB, PARALLEL AND DISTRIBUTED COMPUTING WITH LAB, ART APPRECIATION, THE LIFE WORKS AND WRITINGS OF RIZAL, ANIMATION DESIGN AND PRODUCTION WITH LAB",what courses are covered in the First Semester of the Fourth Year for Emc,28,109,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  1752, 22087,  6801,
         2083,  1104,  1103,  7652,  2381,  1111, 18653,  1665,  1109,  5174,
         2356,  1107,  1103,  2223,  1214,   117,  1148, 14594,  1104,  5936,
         1105,  4321,  2394, 12783,  1137,  1103,  9712,  1665,  1511,   140,
        19556, 16941, 15681,   157, 16941, 15681,  1708, 15969, 18732, 12347,
        16830, 15740,   117,   142, 10044,  8784, 10197, 18082, 22680, 11629,
         2346,  4538,  8231,  1942,   123,   117, 15969,  2271,  9565,  8271,
        21669, 11414,  9960, 11185, 16523, 14424, 15681,   160, 12150,  3048,
        10722,  2064,   117, 15969, 12880, 23955, 23413, 11680,  1942,   156,
         3663,  9272, 15577,  1708,   160, 12150,  3048, 10722,  2064,   117,
         8544,  9664, 23955, 21678, 16716,   141,  6258, 23313, 27954, 16830,
        10069, 18732, 12347, 16830, 15740,   160, 12150,  3048, 10722,  2064,
          117, 22133,  1942, 10997, 22861,  8231,  9984, 21669, 11414,   117,
         7462,   149, 15499,  2036,   160,  9565, 25370, 16716, 26476, 12150,
        15740,  1708, 11345,   155,  2240,  5301, 12507,   117, 23096, 13371,
        13821, 24805, 18581, 13882,  2349,  2249, 16716, 11629, 15609, 21986,
        21669, 11414,   160, 12150,  3048, 10722,  2064,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,109
"The subjects offered in the fourth year, second semester of entertainment and multi media computing or the emc include EMC PRACTICUM AND INDUSTRY IMMERSION, ART APPRECIATION",what courses are covered in the Second Semester of the Fourth Year for Emc,28,110,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  2307, 22087,  6801,
         2083,  1104,  1103,  7652,  2381,  1111, 18653,  1665,  1109,  5174,
         2356,  1107,  1103,  2223,  1214,   117,  1248, 14594,  1104,  5936,
         1105,  4321,  2394, 12783,  1137,  1103,  9712,  1665,  1511,   142,
        10044, 11629,  8101, 21669, 23520,  2107, 16716, 15969,  2137, 13329,
        23313,  3663,   146, 25290,  9637, 13882, 11414,   117, 22133,  1942,
        10997, 22861,  8231,  9984, 21669, 11414,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,110
"The subjects offered in the first year, first semester of information technology or the IT include COLLEGE ENGLISH, FUNDAMENTALS OF PROGRAMMING WITH LAB, INTRODUCTION TO COMPUTING WITH LAB, PC ASSEMBLY TROUBLESHOOTING AND MAINTENANCE, SCIENCE TECHNOLOGY AND SOCIETY, THE CONTEMPORARY WORLD, UNDERSTANDING SELF, VERITAS ET MISERICODIA 1",what courses are covered in the First Semester of the First Year for IT,28,90,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  1752, 22087,  6801,
         2083,  1104,  1103,  1752,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1148,  1214,   117,  1148, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511, 18732, 23955, 17020,  2036,   142, 11780,
         2162,  6258,  3048,   117,   143, 27370, 11392, 14424, 15681, 12507,
         1708, 11345, 11629,  2346, 27617, 10964, 14038, 11780,   160, 12150,
         3048, 10722,  2064,   117, 15969, 23313, 15609, 21986, 21669, 11414,
        16972, 18732, 12347, 16830, 15740,   160, 12150,  3048, 10722,  2064,
          117,  7054, 15278, 12649, 20660,  2162,  3663,   157, 21564,  2591,
        13360,  9919,  3048,  2346, 14697, 15740, 16716,  9960, 11607, 12880,
        11185, 15517,  2036,   117,  9314, 17444, 15517,  2036,   157,  8231,
         3048,  2249, 13901,  2346,  2349,  3663, 16716,   156,  9244, 17444,
        16880,   117,  7462, 18732, 15681, 15577, 23329,  9664,  2069,  3663,
          160,  9565, 20521,   117,  7414, 20427,  8900,  9159, 16769, 15740,
        12342, 25470,   117,   159,  9637, 12150, 10719, 27269, 26574, 12649,
        20595, 15678, 17243,  1592,   122,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,90
"The subjects offered in the first year, second semester of information technology or the IT include CRITICAL READING WRITING AND THINKING, DIGITAL LOGIC AND DESIGN, INTERMEDIATE PROGRAMMING WITH LAB, MATHEMATICS IN THE MODERN WORLD, PURPOSIVE COMMUNICATION, READINGS IN PHILIPPINE HISTORY, VERITAS ET MISERICORDIA 2, WEB DEVELOPMENT WITH LAB",what courses are covered in the Second Semester of the First Year for IT,28,91,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  2307, 22087,  6801,
         2083,  1104,  1103,  1752,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1148,  1214,   117,  1248, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511, 15531, 12150,  9741, 12507,   155, 12420,
        17243, 11780, 26476, 12150, 15740, 16716,   157,  3048, 11607,  2428,
        15740,   117,   141, 23413, 12150, 12507,   149,  2346, 21065,  1658,
        16716, 18581, 13882,  2349,  2249,   117, 15969, 12880,  2069, 14424,
        17243, 13821,  2036, 11629,  2346, 27617, 10964, 14038, 11780,   160,
        12150,  3048, 10722,  2064,   117,  9960, 24162, 15577, 13821,  9741,
         1708, 15969,  7462,   150, 15609,  9637,  2249,   160,  9565, 20521,
          117,   153, 19556, 23329, 13882, 17145, 18732, 25290, 27370,  9741,
        13821, 24805,   117,   155, 12420, 17243, 11780,  1708, 15969,   153,
         3048, 17656, 11410, 23203, 22680,   145,  6258, 18082,  2069,  3663,
          117,   159,  9637, 12150, 10719, 27269, 26574, 12649, 20595, 15678,
        23354,  9984,   123,   117,   160,  2036,  2064, 18581, 17145,  2162,
        17195, 14424, 15681,   160, 12150,  3048, 10722,  2064,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,91
"The subjects offered in the second year, first semester of information technology or the IT include DATA STRUCTURES AND ALGORITHM WITH LAB, DISCRETE MATHEMATICS 1, ETHICS, INFORMATION MANAGEMENT WITH LAB, OBJECT ORIENTED PROGRAMMING 1 WITH LAB, PHYSICAL EDUCATION 3, VERITAS ET MISERICORDIA 4, WEB DEVELOPMENT 2 WITH LAB",what courses are covered in the First Semester of the Second Year for IT,28,91,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  1752, 22087,  6801,
         2083,  1104,  1103,  2307,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1248,  1214,   117,  1148, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511,   141, 13821,  1592, 23676,  2069, 21986,
        27074, 16941,  1708, 16716, 18589,  2349,  9565, 12150,  3048,  2107,
          160, 12150,  3048, 10722,  2064,   117,   141,  6258, 23554, 11943,
         2036,  9960, 24162, 15577, 13821,  9741,  1708,   122,   117, 27269,
         3048,  9741,  1708,   117, 15969,  2271,  9565,  8271, 21669, 11414,
         9960, 11185, 16523, 14424, 15681,   160, 12150,  3048, 10722,  2064,
          117,   152,  2064,  4538,  8231,  1942, 23066, 17444, 15681, 10069,
        11629,  2346, 27617, 10964, 14038, 11780,   122,   160, 12150,  3048,
        10722,  2064,   117,   153,  3048,  3663, 13882, 11356,  2162,   142,
         2137, 21986, 13821, 24805,   124,   117,   159,  9637, 12150, 10719,
        27269, 26574, 12649, 20595, 15678, 23354,  9984,   125,   117,   160,
         2036,  2064, 18581, 17145,  2162, 17195, 14424, 15681,   123,   160,
        12150,  3048, 10722,  2064,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,91
"The subjects offered in the second year, second semester of information technology or the IT include APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGIES WITH LAB, DATABASE SYSTEM ADMIN WITH LAB, LINUX FUNDAMENTALS AND ADMINISTRATION WITH LAB, MULTIMEDIA AND DESIGN WITH LAB, OBJECT ORIENTED PROGRAMMING 2 WITH LAB, PHILIPPINE POLITICS GOVERNANCE AND CITIZENSHIP, PHYSICAL EDUCATION 4, QUANTITATIVE METHODS",what courses are covered in the Second Semester of the Second Year for IT,28,82,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  2307, 22087,  6801,
         2083,  1104,  1103,  2307,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1248,  1214,   117,  1248, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511, 10997, 27258,  9741, 13821, 24805, 18581,
        17145,  2162, 17195, 14424, 15681, 16716,   142, 14424,  2069, 21065,
        11780,   157,  8231,  3048,  2249, 13901,  2346, 21065,  9919,   160,
        12150,  3048, 10722,  2064,   117,   141, 13821, 19985, 10719,  2036,
          156,  3663,  9272, 15577,  5844, 14038,  2249,   160, 12150,  3048,
        10722,  2064,   117,   149, 11607,  2591,  3190,   143, 27370, 11392,
        14424, 15681, 12507,  1708, 16716,  5844, 14038, 27451,  9272,  9664,
        21669, 11414,   160, 12150,  3048, 10722,  2064,   117,   150,  2591,
        26909, 13371, 10069,  9984, 16716, 18581, 13882,  2349,  2249,   160,
        12150,  3048, 10722,  2064,   117,   152,  2064,  4538,  8231,  1942,
        23066, 17444, 15681, 10069, 11629,  2346, 27617, 10964, 14038, 11780,
          123,   160, 12150,  3048, 10722,  2064,   117,   153,  3048, 17656,
        11410, 23203, 22680,   153, 13901, 12150,  9741,  1708, 27157, 17145,
        15654, 15517,  2036, 16716,   140, 12150,  2240,  5301, 11680,  1708,
         3048, 11410,   117,   153,  3048,  3663, 13882, 11356,  2162,   142,
         2137, 21986, 13821, 24805,   125,   117,   154,  2591, 14962, 21669,
         9159, 21669, 17145, 22157, 24162, 15609,  1708,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1])",28,82
"The subjects offered in the third year, first semester of information technology or the IT include HUMAN COMPUTER INTERACTION 1, INFORMATION ASSURANCE AND SECURITY 1 WITH LAB, INTEGRATED PROGRAMMING TECHNOLOGIES 1 WITH LAB, IT PROJECT MANAGEMENT, NETWORKING 1 WITH LAB, SOCIAL ETHICAL AND PROFESSIONAL ISSUES IN COMPUTING WITH LEGAL ASPECTS, STATISTICS FOR COMPUTING RESEARCH, SYSTEM INTEGRATION AND ARCHITECTURE 1 WITH LAB",what courses are covered in the First Semester of the Third Year for IT,28,90,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  1752, 22087,  6801,
         2083,  1104,  1103,  4180,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1503,  1214,   117,  1148, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511,   145, 25810, 14962, 18732, 12347, 16830,
         9637, 15969, 12880,  9664, 16647, 24805,   122,   117, 15969,  2271,
         9565,  8271, 21669, 11414, 15278, 17281,  9664, 15517,  2036, 16716,
        15374, 19556, 12150,  3663,   122,   160, 12150,  3048, 10722,  2064,
          117, 15969, 12880, 27617, 13821, 10069, 11629,  2346, 27617, 10964,
        14038, 11780,   157,  8231,  3048,  2249, 13901,  2346, 21065,  9919,
          122,   160, 12150,  3048, 10722,  2064,   117,  9686, 11629,  2346,
         4538,  8231,  1942,  9960, 11185, 16523, 14424, 15681,   117, 26546,
         1942,  2924,  9565,  2428, 15740,   122,   160, 12150,  3048, 10722,
         2064,   117,   156,  9244,  9984,  2162, 27269,  3048,  9741, 12507,
        16716, 11629,  2346,  2271,  9919, 13882, 11414, 12507, 19432, 17281,
         9919, 15969, 18732, 12347, 16830, 15740,   160, 12150,  3048,   149,
        17020, 12507, 15278,  2101,  8231, 11365,   117, 23676, 13821,  6258,
        21669, 12122,   143,  9565, 18732, 12347, 16830, 15740,   155,  9919,
        12420, 10036,  3048,   117,   156,  3663,  9272, 15577, 15969, 12880,
        27617, 13821, 24805, 16716, 22133, 23258, 12150,  8231, 27074, 16941,
          122,   160, 12150,  3048, 10722,  2064,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])",28,90
"The subjects offered in the third year, second semester of information technology or the IT include HUMAN COMPUTER INTERACTION 2, INFORMATION ASSURANCE AND SECURITY 2 WITH LAB, INTEGRATED PROGRAMMING TECHNOLOGIES WITH LAB, IT CAPSTONE PROJECT 1, NETWORKING 2 WITH LAB, SYSTEM INTEGRATION AND ARCHITECTURE 2 WITH LAB",what courses are covered in the Second Semester of the Third Year for IT,28,91,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  2307, 22087,  6801,
         2083,  1104,  1103,  4180,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  1503,  1214,   117,  1248, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511,   145, 25810, 14962, 18732, 12347, 16830,
         9637, 15969, 12880,  9664, 16647, 24805,   123,   117, 15969,  2271,
         9565,  8271, 21669, 11414, 15278, 17281,  9664, 15517,  2036, 16716,
        15374, 19556, 12150,  3663,   123,   160, 12150,  3048, 10722,  2064,
          117, 15969, 12880, 27617, 13821, 10069, 11629,  2346, 27617, 10964,
        14038, 11780,   157,  8231,  3048,  2249, 13901,  2346, 21065,  9919,
          160, 12150,  3048, 10722,  2064,   117,  9686,  8784, 10197, 18082,
        22680, 11629,  2346,  4538,  8231,  1942,   122,   117, 26546,  1942,
         2924,  9565,  2428, 15740,   123,   160, 12150,  3048, 10722,  2064,
          117,   156,  3663,  9272, 15577, 15969, 12880, 27617, 13821, 24805,
        16716, 22133, 23258, 12150,  8231, 27074, 16941,   123,   160, 12150,
         3048, 10722,  2064,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,91
"The subjects offered in the fourth year, first semester of information technology or the IT include CURRENT TRENTS IN COMPUTING, IT CAPSTONE PROJECT 2, SYSTEM ADMIN AND MAINTENANCE WITH LAB, THE LIFE WORKS AND WRITINGS OF RIZAL, IT PROFESSIONAL ELECTIVE WITH LAB, IT PROFESSIONAL ELECTIVE 2 WITH LAB, ART APPRECIATION, BUSINESS APPLICATION MANAGEMENT",what courses are covered in the First Semester of the Fourth Year for IT,28,91,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  1752, 22087,  6801,
         2083,  1104,  1103,  7652,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  2223,  1214,   117,  1148, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511,   140, 19556, 16941, 15681,   157, 16941,
        15681,  1708, 15969, 18732, 12347, 16830, 15740,   117,  9686,  8784,
        10197, 18082, 22680, 11629,  2346,  4538,  8231,  1942,   123,   117,
          156,  3663,  9272, 15577,  5844, 14038,  2249, 16716,  9960, 11607,
        12880, 11185, 15517,  2036,   160, 12150,  3048, 10722,  2064,   117,
         7462,   149, 15499,  2036,   160,  9565, 25370, 16716, 26476, 12150,
        15740,  1708, 11345,   155,  2240,  5301, 12507,   117,  9686, 11629,
         2346,  2271,  9919, 13882, 11414, 12507,   142, 17516, 16647, 26140,
          160, 12150,  3048, 10722,  2064,   117,  9686, 11629,  2346,  2271,
         9919, 13882, 11414, 12507,   142, 17516, 16647, 26140,   123,   160,
        12150,  3048, 10722,  2064,   117, 22133,  1942, 10997, 22861,  8231,
         9984, 21669, 11414,   117,   139, 13329, 11607,  9919,  1708, 10997,
        27258,  9741, 13821, 24805,  9960, 11185, 16523, 14424, 15681,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,91
"The subjects offered in the fourth year, second semester of information technology or the IT include IT PRACTICUM AND INDUSTRY IMMERSION, IT PROFESSIONAL ELECTIVE 5 WITH LAB",what courses are covered in the Second Semester of the Fourth Year for IT,28,92,"tensor([  101,  1184,  4770,  1132,  2262,  1107,  1103,  2307, 22087,  6801,
         2083,  1104,  1103,  7652,  2381,  1111,  9686,  1109,  5174,  2356,
         1107,  1103,  2223,  1214,   117,  1248, 14594,  1104,  1869,  2815,
         1137,  1103,  9686,  1511,  9686, 11629,  8101, 21669, 23520,  2107,
        16716, 15969,  2137, 13329, 23313,  3663,   146, 25290,  9637, 13882,
        11414,   117,  9686, 11629,  2346,  2271,  9919, 13882, 11414, 12507,
          142, 17516, 16647, 26140,   126,   160, 12150,  3048, 10722,  2064,
          102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])",28,92
